state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
PR,2020-09-21,2020-09-28,3386941,980,31.36,0.032,0.0188,0.0471,2020-09-25
RI,2020-09-25,2020-10-08,1056611,864,36.288,0.042,0.0257,0.0627,2020-10-01
SC,2020-09-23,2020-10-07,4955925,816,74.256,0.091,0.0639,0.1178,2020-09-30
SD,2020-09-22,2020-10-04,864289,72,559.44,7.77,,,2020-09-28
TN,2020-09-23,2020-10-07,6651089,976,88.816,0.091,0.0683,0.114,2020-09-30
TX,2020-09-23,2020-10-05,27885195,981,70.632,0.072,0.0519,0.0956,2020-09-29
UT,2020-09-23,2020-10-07,3045350,937,49.661,0.053,0.0361,0.0731,2020-09-30
VA,2020-09-21,2020-10-05,8413774,899,44.95,0.05,0.0234,0.0926,2020-09-28
VT,2020-09-25,2020-10-08,624977,514,2.57,0.005,0,0.0119,2020-10-01
WA,2020-09-22,2020-10-08,7294336,1024,23.552,0.023,0.0125,0.036,2020-09-30
WI,2020-09-23,2020-10-06,5778394,978,30.318,0.031,0.0196,0.0462,2020-09-29
WV,2020-09-23,2020-10-08,1829054,959,30.688,0.032,0.0111,0.0618,2020-10-01
WY,2020-09-23,2020-10-07,581836,118,4.956,0.042,0.0068,0.0925,2020-09-30
AK,2020-10-06,2020-10-21,738516,971,14.565,0.015,0.0079,0.0246,2020-10-14
AL,2020-10-07,2020-10-21,4864680,996,122.508,0.123,0.1,0.1499,2020-10-14
AR,2020-10-07,2020-10-22,2990671,971,87.39,0.09,0.0714,0.1138,2020-10-15
AZ,2020-10-07,2020-10-21,6946685,940,45.12,0.048,0.0255,0.0789,2020-10-14
CA,2020-10-08,2020-10-13,39148760,980,44.1,0.045,0.029,0.0642,2020-10-10
CO,2020-10-08,2020-10-19,5531141,978,43.032,0.044,0.0282,0.0651,2020-10-14
CT,2020-10-08,2020-10-13,3581504,988,22.724,0.023,0.0132,0.0352,2020-10-10
DC,2020-10-07,2020-10-22,684498,1027,69.836,0.068,0.0499,0.0889,2020-10-15
DE,2020-10-07,2020-10-22,949495,980,72.52,0.074,0.0495,0.0988,2020-10-15
FL,2020-10-09,2020-10-09,20598139,983,78.64,0.08,0.0601,0.1022,2020-10-09
GA,2020-10-06,2020-10-13,10297484,1008,85.68,0.085,0.0617,0.1118,2020-10-10
HI,2020-10-06,2020-10-22,1422029,439,8.78,0.02,0.0055,0.0419,2020-10-14
IA,2020-10-07,2020-10-22,3132499,976,126.88,0.13,0.0928,0.1819,2020-10-15
ID,2020-10-05,2020-10-21,1687809,985,41.37,0.042,0.0264,0.0602,2020-10-13
IL,2020-10-07,2020-10-13,12821497,979,56.782,0.058,0.0414,0.0754,2020-10-10
IN,2020-10-07,2020-10-20,6637426,1223,56.258,0.046,0.0227,0.0783,2020-10-13
KS,2020-10-06,2020-10-22,2908776,967,68.657,0.071,0.0516,0.0918,2020-10-14
KY,2020-10-07,2020-10-16,4440204,980,32.34,0.033,0.0195,0.0472,2020-10-11
LA,2020-10-06,2020-10-19,4663616,980,96.04,0.098,0.0736,0.1246,2020-10-12
MA,2020-10-09,2020-10-13,6830193,979,25.454,0.026,0.015,0.0388,2020-10-11
MD,2020-10-10,2020-10-21,6003435,627,71.478,0.114,0.0827,0.1484,2020-10-16
ME,2020-10-09,2020-10-22,1332813,983,5.898,0.006,0.0016,0.0125,2020-10-15
MI,2020-10-06,2020-10-16,9957488,979,31.328,0.032,0.0196,0.0455,2020-10-11
MN,2020-10-06,2020-10-22,5527358,984,73.8,0.075,0.0536,0.1001,2020-10-14
MO,2020-10-07,2020-10-15,6090062,976,63.44,0.065,0.0437,0.0864,2020-10-11
MS,2020-10-05,2020-10-20,2988762,972,127.332,0.131,0.094,0.1724,2020-10-13
MT,2020-10-07,2020-10-21,1041732,588,18.816,0.032,0.0157,0.0501,2020-10-14
NC,2020-10-06,2020-10-19,10155624,995,34.825,0.035,0.0205,0.0504,2020-10-12
ND,2020-10-06,2020-10-16,752201,55,427.35,7.77,,,2020-10-11
NE,2020-10-07,2020-10-21,1904760,966,109.158,0.113,0.086,0.1413,2020-10-14
NH,2020-10-09,2020-10-15,1343622,980,7.84,0.008,0.0031,0.0142,2020-10-12
NJ,2020-10-07,2020-10-21,8881845,889,110.236,0.124,0.1002,0.1517,2020-10-14
NM,2020-10-06,2020-10-20,2092434,976,46.848,0.048,0.0326,0.0662,2020-10-13
NV,2020-10-06,2020-10-16,2922849,981,80.442,0.082,0.064,0.1006,2020-10-11
NY,2020-10-09,2020-10-21,19618453,820,179.58,0.219,0.1872,0.2525,2020-10-15
OH,2020-10-06,2020-10-22,11641879,980,17.64,0.018,0.0094,0.0275,2020-10-14
OK,2020-10-07,2020-10-14,3918137,980,72.52,0.074,0.0508,0.0971,2020-10-11
OR,2020-10-07,2020-10-19,4081943,972,20.412,0.021,0.0087,0.0359,2020-10-13
PA,2020-10-08,2020-10-21,12791181,946,99.33,0.105,0.0839,0.1316,2020-10-14
PR,2020-10-05,2020-10-13,3386941,980,27.44,0.028,0.0164,0.0438,2020-10-09
RI,2020-10-09,2020-10-22,1056611,760,18.24,0.024,0.0143,0.0354,2020-10-15
SC,2020-10-07,2020-10-21,4955925,1031,82.48,0.08,0.0578,0.1049,2020-10-14
SD,2020-10-07,2020-10-22,864289,34,264.18,7.77,,,2020-10-15
TN,2020-10-07,2020-10-15,6651089,995,98.505,0.099,0.0749,0.1226,2020-10-11
TX,2020-10-05,2020-10-19,27885195,992,103.168,0.104,0.0815,0.1298,2020-10-12
UT,2020-10-05,2020-10-21,3045350,978,88.998,0.091,0.063,0.1199,2020-10-13
VA,2020-10-09,2020-10-21,8413774,864,35.424,0.041,0.0241,0.062,2020-10-15
VT,2020-10-09,2020-10-22,624977,472,1.888,0.004,0,0.0122,2020-10-15
WA,2020-10-07,2020-10-21,7294336,974,19.48,0.02,0.0091,0.0321,2020-10-14
WI,2020-10-07,2020-10-22,5778394,973,48.65,0.05,0.0341,0.0698,2020-10-15
WV,2020-10-07,2020-10-22,1829054,1124,24.728,0.022,0.0129,0.033,2020-10-15
WY,2020-10-08,2020-10-21,581836,123,3.198,0.026,0.0046,0.0578,2020-10-14
AK,2020-10-30,2020-11-13,738516,1413,89.019,0.063,0.0368,0.1057,2020-11-06
AL,2020-10-26,2020-11-09,4864680,1538,141.496,0.092,0.0757,0.1099,2020-11-02
AR,2020-10-26,2020-11-06,2990671,1500,97.5,0.065,0.0515,0.0798,2020-11-01
AZ,2020-10-26,2020-11-10,6946685,1800,172.8,0.096,0.0808,0.1112,2020-11-03
CA,2020-10-26,2020-11-12,39148760,1315,86.79,0.066,0.0509,0.0812,2020-11-03
CO,2020-10-30,2020-11-13,5531141,1293,64.65,0.05,0.0335,0.068,2020-11-06
CT,2020-11-02,2020-11-14,3581504,1009,35.315,0.035,0.0209,0.0499,2020-11-08
DC,2020-10-27,2020-11-11,684498,1175,103.4,0.088,0.0697,0.1067,2020-11-04
DE,2020-10-26,2020-11-09,949495,949,98.696,0.104,0.0772,0.1362,2020-11-02
FL,2020-10-27,2020-11-04,20598139,1360,103.36,0.076,0.0602,0.0911,2020-10-31
GA,2020-10-27,2020-11-13,10297484,1330,164.92,0.124,0.1001,0.1488,2020-11-04
